Chemical,Initial_Conc,Final_Conc,Fold_Change,Max_Conc,Max_Step,Trend
O2,0.000000e+00,7.902840e-06,N/A,7.917880e-06,1,Increasing
IFN,1.044270e-08,4.078210e-07,3.91e+01,5.939410e-07,56,Increasing
IL2,0.000000e+00,3.437610e-05,N/A,1.201530e-04,1,Increasing
IL10,3.200560e-05,2.449520e-05,7.65e-01,3.200560e-05,0,Decreasing
TGFB,1.186630e-04,9.869420e-06,8.32e-02,1.186630e-04,0,Decreasing
CCL2,1.134100e-04,nan,N/A,1.896280e-04,204,Decreasing
ARGI,4.618610e-05,4.603780e-05,9.97e-01,4.618880e-05,7,Decreasing
NO,8.844830e-06,6.069210e-06,6.86e-01,1.024420e-05,57,Decreasing
IL12,2.289640e-08,5.407550e-07,2.36e+01,5.407550e-07,240,Increasing
VEGFA,3.245950e-05,3.674880e-05,1.13e+00,3.674880e-05,279,Increasing
